Population,Mean_1,Mean_2,Mean_3,Mean_4,Variance_1,Variance_2,Variance_3,Variance_4,Skewness_1,Skewness_2,Skewness_3,Skewness_4,AQI
1.67E+05,10.716,6.1002,8618.7,272.79,909.33,345.88,1.12E+09,7.95E+05,7.3885,8.4367,6.8661,6.7869,72
1.68E+05,10.727,6.0778,8665.1,273.05,910.1,342.26,1.13E+09,7.97E+05,7.3835,8.4696,6.8607,6.7976,72
1.68E+05,10.736,6.0566,8712,273.31,910.61,338.41,1.14E+09,7.99E+05,7.3792,8.5025,6.8542,6.8065,71
1.69E+05,10.745,6.0367,8758.5,273.58,910.86,334.36,1.15E+09,8.01E+05,7.3754,8.5351,6.8465,6.8135,71
1.69E+05,10.752,6.0182,8803.5,273.84,910.85,330.15,1.15E+09,8.02E+05,7.3724,8.567,6.838,6.8188,70
1.70E+05,10.758,6.0011,8845.6,274.09,910.58,325.82,1.16E+09,8.04E+05,7.3699,8.5979,6.8289,6.8222,70
1.70E+05,10.763,5.9854,8883.4,274.34,910.04,321.37,1.16E+09,8.04E+05,7.3682,8.6277,6.8192,6.8238,69
1.70E+05,10.767,5.971,8915.8,274.58,909.25,316.85,1.16E+09,8.05E+05,7.3671,8.656,6.8093,6.8236,69
1.71E+05,10.769,5.9578,8942.1,274.8,908.21,312.28,1.15E+09,8.06E+05,7.3667,8.6826,6.7993,6.8216,69
1.71E+05,10.769,5.9457,8962.1,275.01,906.93,307.67,1.15E+09,8.06E+05,7.367,8.7074,6.7894,6.8178,68
1.72E+05,10.769,5.9346,8975.8,275.2,905.42,303.05,1.14E+09,8.06E+05,7.368,8.73,6.7799,6.8123,68
1.72E+05,10.767,5.9243,8959.7,275.38,903.7,298.45,1.13E+09,8.05E+05,7.3698,8.7505,6.771,6.8049,68
1.72E+05,10.763,5.915,8940.2,275.54,901.78,293.88,1.13E+09,8.05E+05,7.3723,8.7685,6.7629,6.7958,67
1.73E+05,10.758,5.9073,8918.8,275.67,899.67,289.38,1.12E+09,8.04E+05,7.3757,8.7841,6.7557,6.7851,67
1.73E+05,10.752,5.9011,8896.1,275.78,897.4,284.98,1.11E+09,8.03E+05,7.3798,8.7971,6.7497,6.7726,67
1.73E+05,10.744,5.8961,8890.4,275.87,894.98,280.72,1.11E+09,8.02E+05,7.3847,8.8076,6.745,6.7586,66
1.74E+05,10.735,5.8924,8881.2,275.94,892.42,276.62,1.10E+09,8.00E+05,7.3905,8.8154,6.7418,6.7432,65
1.74E+05,10.725,5.8871,8868.2,275.98,889.76,272.72,1.09E+09,7.98E+05,7.3971,8.8205,6.7402,6.7264,65
1.74E+05,10.713,5.882,8851.1,276,887.01,269.07,1.08E+09,7.96E+05,7.4045,8.8231,6.7404,6.7085,64
1.75E+05,10.7,5.877,8829.2,276,884.19,265.69,1.07E+09,7.94E+05,7.4127,8.8231,6.7424,6.6895,63
1.75E+05,10.687,5.8722,8802,275.98,881.34,262.62,1.06E+09,7.92E+05,7.4216,8.8206,6.7464,6.6697,61
1.75E+05,10.672,5.8677,8768.4,275.93,878.46,259.87,1.05E+09,7.90E+05,7.4313,8.8157,6.7524,6.6491,60
1.76E+05,10.657,5.8637,8727.6,275.86,875.59,257.48,1.04E+09,7.87E+05,7.4417,8.8084,6.7605,6.6281,58
1.76E+05,10.641,5.8608,8679.1,275.76,872.75,255.45,1.02E+09,7.85E+05,7.4527,8.7988,6.7708,6.6066,57
1.76E+05,10.624,5.8597,8622.8,275.65,869.95,253.8,1.01E+09,7.82E+05,7.4643,8.787,6.7831,6.5849,55
1.77E+05,10.607,5.8617,8559.7,275.52,867.23,252.52,9.89E+08,7.79E+05,7.4764,8.7731,6.7976,6.563,54
1.77E+05,10.59,5.868,8491.3,275.37,864.59,251.62,9.71E+08,7.76E+05,7.4888,8.7572,6.8142,6.5412,52
1.78E+05,10.572,5.8796,8418.5,275.21,862.05,251.1,9.55E+08,7.73E+05,7.5016,8.7394,6.8329,6.5194,51
1.78E+05,10.554,5.8965,8353.1,275.03,859.64,250.96,9.41E+08,7.70E+05,7.5146,8.7198,6.8536,6.4979,50
1.79E+05,10.536,5.9179,8294.9,274.83,857.36,251.22,9.28E+08,7.68E+05,7.5276,8.6986,6.8762,6.4767,49
1.79E+05,10.519,5.9419,8242.3,274.63,855.24,251.86,9.18E+08,7.65E+05,7.5406,8.6759,6.9008,6.456,48
1.79E+05,10.502,5.9667,8193.6,274.42,853.27,252.89,9.08E+08,7.62E+05,7.5534,8.6518,6.9271,6.4359,48
